id,city,position,salary,link
170,Уфа,Уборщик помещений,от 20 000 руб.,https://bashkortostan.rabota.ru/vacancy/50342335/
171,Стерлитамак,Официант-кассир,30 000 — 40 000 руб.,https://bashkortostan.rabota.ru/vacancy/50332100/
172,Уфа,Каменщик (бригада),от 80 000 руб.,https://bashkortostan.rabota.ru/vacancy/50150159/
173,Уфа,Продавец-консультант,35 000 — 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/50133298/
174,Уфа,Ассистент аудитора,от 32 000 руб.,https://bashkortostan.rabota.ru/vacancy/50002292/
175,Уфа,Преподаватель-мастер столярной мастерской для детей,15 000 — 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/49504408/
176,Ишимбай,Жестянщик,50 000 — 100 000 руб.,https://bashkortostan.rabota.ru/vacancy/48624597/
177,Уфа,Монтажник систем вентиляции и кондиционирования,от 50 000 руб.,https://bashkortostan.rabota.ru/vacancy/47926536/
178,Уфа,Менеджер по продажам автозапчастей,30 000 — 100 000 руб.,https://bashkortostan.rabota.ru/vacancy/47610030/
179,Уфа,Швея-универсал,40 000 — 80 000 руб.,https://bashkortostan.rabota.ru/vacancy/51554162/
180,Уфа,Мойщик инвентаря,31 000 — 35 000 руб.,https://bashkortostan.rabota.ru/vacancy/50336083/
181,Уфа,Инженер отдела инженерно-технической поддержки (бурение на обсадной колонне),по договоренности,https://bashkortostan.rabota.ru/vacancy/50331656/
182,Стерлитамак,Грузчик-комплектовщик,52 000 — 70 000 руб.,https://bashkortostan.rabota.ru/vacancy/50080911/
183,Уфа,Слесарь-сантехник,80 000 — 120 000 руб.,https://bashkortostan.rabota.ru/vacancy/52270073/
184,Туймазы,Продавец-консультант,24 000 — 30 000 руб.,https://bashkortostan.rabota.ru/vacancy/47614683/
185,Уфа,Уборщик/ца,по договоренности,https://bashkortostan.rabota.ru/vacancy/52269761/
186,Уфа,Бухгалтер-экономист,45 000 — 50 000 руб.,https://bashkortostan.rabota.ru/vacancy/52258720/
187,Уфа,Менеджер по закупкам и снабжению,35 000 — 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/50485751/
188,Уфа,Менеджер по продажам,70 000 — 100 000 руб.,https://bashkortostan.rabota.ru/vacancy/50350216/
189,Уфа,Слесарь-сантехник,от 50 000 руб.,https://bashkortostan.rabota.ru/vacancy/50179839/
190,Уфа,Продавец,по договоренности,https://bashkortostan.rabota.ru/vacancy/50148370/
191,Бирск,Грузчик на склад,от 33 000 руб.,https://bashkortostan.rabota.ru/vacancy/50093498/
192,Уфа,Продавец-консультант,от 25 000 руб.,https://bashkortostan.rabota.ru/vacancy/49979341/
193,Уфа,Администратор на ресепшн,от 40 000 руб.,https://bashkortostan.rabota.ru/vacancy/49618227/
194,Уфа,Секретарь-делопроизводитель,15 000 — 20 000 руб.,https://bashkortostan.rabota.ru/vacancy/49316098/
195,Стерлитамак,Специалист по недвижимости,32 000 — 300 000 руб.,https://bashkortostan.rabota.ru/vacancy/48763325/
196,Уфа,Оператор контакт-центра,45 000 — 90 000 руб.,https://bashkortostan.rabota.ru/vacancy/50237488/
197,Уфа,Бухгалтер-эксперт,от 70 000 руб.,https://bashkortostan.rabota.ru/vacancy/50002149/
198,Уфа,Водитель,40 000 — 60 000 руб.,https://bashkortostan.rabota.ru/vacancy/48734201/
199,Уфа,Оператор пункта выдачи заказов,12 000 — 15 000 руб.,https://bashkortostan.rabota.ru/vacancy/47596479/
200,Уфа,Админстратор мини гостиницы,25 000 — 30 000 руб.,https://bashkortostan.rabota.ru/vacancy/52096185/
201,Кумертау,Стоматолог-ортопед,от 100 000 руб.,https://bashkortostan.rabota.ru/vacancy/51569822/
202,Уфа,Сборщик окон ПВХ,от 60 000 руб.,https://bashkortostan.rabota.ru/vacancy/50017433/
203,Уфа,Офис-менеджер,от 40 000 руб.,https://bashkortostan.rabota.ru/vacancy/50001329/
204,Уфа,Повар-пиццамейкер,55 000 — 70 000 руб.,https://bashkortostan.rabota.ru/vacancy/45644654/
205,Москва,Менеджер по продажам,от 100 000 руб.,https://bashkortostan.rabota.ru/vacancy/50421655/
206,Уфа,Уборщик/уборщица,от 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/50126042/
207,Енисейск,Слесарь-сантехник (Вахта),175 657 — 213 397 руб.,https://bashkortostan.rabota.ru/vacancy/52261734/
208,,,,https://bashkortostan.rabota.ru/vacancy/52259775/
209,,,,https://bashkortostan.rabota.ru/vacancy/52259681/
210,Москва,Учитель начальных классов,по договоренности,https://bashkortostan.rabota.ru/vacancy/49827091/
211,Москва,Учитель информатики,по договоренности,https://bashkortostan.rabota.ru/vacancy/49826937/
212,Салават,Электросварщик ручной сварки,по договоренности,https://bashkortostan.rabota.ru/vacancy/52264953/
213,Уфа,Кассир (сотрудник супермаркета),42 300 — 47 300 руб.,https://bashkortostan.rabota.ru/vacancy/52264815/
214,Уфа,Специалист по приемке (сотрудник супермаркета),40 000 — 47 000 руб.,https://bashkortostan.rabota.ru/vacancy/52264811/
215,Стерлитамак,Кассир (сотрудник супермаркета),27 000 — 32 000 руб.,https://bashkortostan.rabota.ru/vacancy/52264801/
216,Уфа,Директор в МФО,100 000 — 110 000 руб.,https://bashkortostan.rabota.ru/vacancy/51506520/
217,Белорецк,Оператор пункта выдачи заказов Wildberries,40 000 — 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/50483681/
218,Уфа,Менеджер по работе с заказами на склад,35 000 — 40 000 руб.,https://bashkortostan.rabota.ru/vacancy/50409780/
219,Уфа,Менеджер по продажам топливных карт B2B,60 000 — 200 000 руб.,https://bashkortostan.rabota.ru/vacancy/50408461/
220,Уфа,Консьерж/Комендант,по договоренности,https://bashkortostan.rabota.ru/vacancy/50360191/
221,Уфа,Продавец,40 000 — 80 000 руб.,https://bashkortostan.rabota.ru/vacancy/50329191/
222,Уфа,Монтажник связи,45 000 — 90 000 руб.,https://bashkortostan.rabota.ru/vacancy/50237630/
223,Уфа,Курьер по доставке заказов из аптек,120 000 — 200 000 руб.,https://bashkortostan.rabota.ru/vacancy/50161919/
224,Уфа,Администратор косметологии,от 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/50121684/
225,Уфа,Продавец-консультант (кавист),от 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/49739264/
226,Уфа,Дизайнер/ дизайнер-верстальщик,по договоренности,https://bashkortostan.rabota.ru/vacancy/49632619/
227,Уфа,Менеджер по работе с клиентами,20 000 — 30 000 руб.,https://bashkortostan.rabota.ru/vacancy/46937036/
228,Уфа,Кладовщик,80 000 руб.,https://bashkortostan.rabota.ru/vacancy/52264248/
229,Уфа,Водитель категории C,от 30 000 руб.,https://bashkortostan.rabota.ru/vacancy/50332906/
230,Уфа,Курьер по доставке цветов,120 000 — 200 000 руб.,https://bashkortostan.rabota.ru/vacancy/50249985/
231,Уфа,Курьер по доставке цветов,120 000 — 200 000 руб.,https://bashkortostan.rabota.ru/vacancy/50242558/
232,Уфа,Гладильщик,до 40 000 руб.,https://bashkortostan.rabota.ru/vacancy/50237782/
233,Воронеж,Менеджер по продажам b2b,от 75 000 руб.,https://bashkortostan.rabota.ru/vacancy/50188049/
234,Уфа,Сварщик,от 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/50182012/
235,Уфа,Парикмахер,55 000 — 110 000 руб.,https://bashkortostan.rabota.ru/vacancy/46561626/
236,Село Туруханск,Инженер ПНР,от 180 000 руб.,https://bashkortostan.rabota.ru/vacancy/52221900/
237,Казань,Слесарь - инструментальщик,180 000 — 190 000 руб.,https://bashkortostan.rabota.ru/vacancy/52122886/
238,Казань,Слесарь - инструментальщик,180 000 — 190 000 руб.,https://bashkortostan.rabota.ru/vacancy/52122866/
239,Дудинка,Машинист бульдозера,от 222 000 руб.,https://bashkortostan.rabota.ru/vacancy/52121829/
240,,,,https://bashkortostan.rabota.ru/vacancy/52259689/
241,Уфа,Водитель категории B на газель,от 80 000 руб.,https://bashkortostan.rabota.ru/vacancy/47419288/
242,Кандалакша,Разнорабочий (Кандалакша),от 120 000 руб.,https://bashkortostan.rabota.ru/vacancy/51934587/
